dataset: cora, size: 0.2, k = 2, acc:0.87638
dataset: cora, size: 0.2, k = 3, acc:0.86900
dataset: cora, size: 0.2, k = 4, acc:0.87269
dataset: cora, size: 0.2, k = 5, acc:0.86716
dataset: cora, size: 0.2, k = 6, acc:0.87085
dataset: cora, size: 0.2, k = 7, acc:0.86531
dataset: cora, size: 0.2, k = 8, acc:0.86716
dataset: cora, size: 0.2, k = 9, acc:0.86716
dataset: cora, size: 0.2, k = 10, acc:0.86531
dataset: cora, size: 0.4, k = 2, acc:0.85055
dataset: cora, size: 0.4, k = 3, acc:0.85609
dataset: cora, size: 0.4, k = 4, acc:0.83948
dataset: cora, size: 0.4, k = 5, acc:0.84410
dataset: cora, size: 0.4, k = 6, acc:0.84779
dataset: cora, size: 0.4, k = 7, acc:0.85517
dataset: cora, size: 0.4, k = 8, acc:0.84963
dataset: cora, size: 0.4, k = 9, acc:0.84594
dataset: cora, size: 0.4, k = 10, acc:0.85424
dataset: cora, size: 0.6, k = 2, acc:0.83385
dataset: cora, size: 0.6, k = 3, acc:0.84369
dataset: cora, size: 0.6, k = 4, acc:0.84000
dataset: cora, size: 0.6, k = 5, acc:0.84123
dataset: cora, size: 0.6, k = 6, acc:0.83077
dataset: cora, size: 0.6, k = 7, acc:0.84738
dataset: cora, size: 0.6, k = 8, acc:0.84246
dataset: cora, size: 0.6, k = 9, acc:0.84492
dataset: cora, size: 0.6, k = 10, acc:0.84923
dataset: cora, size: 0.8, k = 2, acc:0.81957
dataset: cora, size: 0.8, k = 3, acc:0.81818
dataset: cora, size: 0.8, k = 4, acc:0.82557
dataset: cora, size: 0.8, k = 5, acc:0.82603
dataset: cora, size: 0.8, k = 6, acc:0.82510
dataset: cora, size: 0.8, k = 7, acc:0.82557
dataset: cora, size: 0.8, k = 8, acc:0.83018
dataset: cora, size: 0.8, k = 9, acc:0.83064
dataset: cora, size: 0.8, k = 10, acc:0.82510
dataset: citeseer, size: 0.2, k = 2, acc:0.73906
dataset: citeseer, size: 0.2, k = 4, acc:0.73605
dataset: citeseer, size: 0.2, k = 5, acc:0.73152
dataset: citeseer, size: 0.2, k = 6, acc:0.73152
dataset: citeseer, size: 0.2, k = 7, acc:0.71946
dataset: citeseer, size: 0.2, k = 8, acc:0.71192
dataset: citeseer, size: 0.2, k = 9, acc:0.72851
dataset: citeseer, size: 0.2, k = 10, acc:0.73605
dataset: citeseer, size: 0.4, k = 2, acc:0.73057
dataset: citeseer, size: 0.4, k = 3, acc:0.71396
dataset: citeseer, size: 0.4, k = 4, acc:0.73660
dataset: citeseer, size: 0.4, k = 5, acc:0.72377
dataset: citeseer, size: 0.4, k = 6, acc:0.71774
dataset: citeseer, size: 0.4, k = 7, acc:0.71849
dataset: citeseer, size: 0.4, k = 8, acc:0.71698
dataset: citeseer, size: 0.4, k = 9, acc:0.72679
dataset: citeseer, size: 0.4, k = 10, acc:0.70943
dataset: citeseer, size: 0.6, k = 2, acc:0.71730
dataset: citeseer, size: 0.6, k = 3, acc:0.71479
dataset: citeseer, size: 0.6, k = 4, acc:0.70926
dataset: citeseer, size: 0.6, k = 5, acc:0.70825
dataset: citeseer, size: 0.6, k = 6, acc:0.71529
dataset: citeseer, size: 0.6, k = 7, acc:0.71227
dataset: citeseer, size: 0.6, k = 8, acc:0.71278
dataset: citeseer, size: 0.6, k = 9, acc:0.70322
dataset: citeseer, size: 0.6, k = 10, acc:0.70674
dataset: citeseer, size: 0.8, k = 2, acc:0.69321
dataset: citeseer, size: 0.8, k = 3, acc:0.70000
dataset: citeseer, size: 0.8, k = 4, acc:0.69698
dataset: citeseer, size: 0.8, k = 5, acc:0.68302
dataset: citeseer, size: 0.8, k = 6, acc:0.68717
dataset: citeseer, size: 0.8, k = 7, acc:0.68075
dataset: citeseer, size: 0.8, k = 8, acc:0.68755
dataset: citeseer, size: 0.8, k = 9, acc:0.68151
dataset: citeseer, size: 0.8, k = 10, acc:0.68264
dataset: BlogCatalog, size: 0.2, k = 2, acc:0.88750
dataset: BlogCatalog, size: 0.2, k = 3, acc:0.89231
dataset: BlogCatalog, size: 0.2, k = 4, acc:0.89904
dataset: BlogCatalog, size: 0.2, k = 5, acc:0.89423
dataset: BlogCatalog, size: 0.2, k = 6, acc:0.89231
dataset: BlogCatalog, size: 0.2, k = 7, acc:0.89615
dataset: BlogCatalog, size: 0.2, k = 8, acc:0.90096
dataset: BlogCatalog, size: 0.2, k = 9, acc:0.89327
dataset: BlogCatalog, size: 0.2, k = 10, acc:0.89712
dataset: BlogCatalog, size: 0.4, k = 2, acc:0.88456
dataset: BlogCatalog, size: 0.4, k = 3, acc:0.88119
dataset: BlogCatalog, size: 0.4, k = 4, acc:0.87975
dataset: BlogCatalog, size: 0.4, k = 5, acc:0.89418
dataset: BlogCatalog, size: 0.4, k = 6, acc:0.89899
dataset: BlogCatalog, size: 0.4, k = 7, acc:0.88696
dataset: BlogCatalog, size: 0.4, k = 8, acc:0.89129
dataset: BlogCatalog, size: 0.4, k = 9, acc:0.89947
dataset: BlogCatalog, size: 0.4, k = 10, acc:0.89562
dataset: BlogCatalog, size: 0.6, k = 2, acc:0.87428
dataset: BlogCatalog, size: 0.6, k = 3, acc:0.86530
dataset: BlogCatalog, size: 0.6, k = 4, acc:0.56222
dataset: BlogCatalog, size: 0.6, k = 5, acc:0.87781
dataset: BlogCatalog, size: 0.6, k = 6, acc:0.87684
dataset: BlogCatalog, size: 0.6, k = 7, acc:0.86402
dataset: BlogCatalog, size: 0.6, k = 8, acc:0.88037
dataset: BlogCatalog, size: 0.6, k = 9, acc:0.88326
dataset: BlogCatalog, size: 0.6, k = 10, acc:0.88358
dataset: BlogCatalog, size: 0.8, k = 2, acc:0.85182
dataset: BlogCatalog, size: 0.8, k = 3, acc:0.84099
dataset: BlogCatalog, size: 0.8, k = 4, acc:0.84051
dataset: BlogCatalog, size: 0.8, k = 5, acc:0.84652
dataset: BlogCatalog, size: 0.8, k = 6, acc:0.85230
dataset: BlogCatalog, size: 0.8, k = 7, acc:0.85639
dataset: BlogCatalog, size: 0.8, k = 8, acc:0.86000
dataset: BlogCatalog, size: 0.8, k = 9, acc:0.85951
dataset: BlogCatalog, size: 0.8, k = 10, acc:0.85302
dataset: pubmed, size: 0.2, k = 2, acc:0.87830
dataset: pubmed, size: 0.2, k = 3, acc:0.88159
dataset: pubmed, size: 0.2, k = 4, acc:0.88159
dataset: pubmed, size: 0.2, k = 5, acc:0.88438
dataset: pubmed, size: 0.2, k = 6, acc:0.88261
dataset: pubmed, size: 0.2, k = 7, acc:0.88134
dataset: pubmed, size: 0.2, k = 8, acc:0.87855
dataset: pubmed, size: 0.2, k = 9, acc:0.87931
dataset: pubmed, size: 0.2, k = 10, acc:0.87956
dataset: pubmed, size: 0.4, k = 2, acc:0.87904
dataset: pubmed, size: 0.4, k = 3, acc:0.88601
dataset:pubmed, size: 0.4, k = 2, acc: 0.88234
dataset:pubmed, size: 0.4, k = 3, acc: 0.88614
dataset:pubmed, size: 0.4, k = 4, acc: 0.88766
dataset:pubmed, size: 0.4, k = 5, acc: 0.88792
dataset:pubmed, size: 0.4, k = 6, acc: 0.88766
dataset:pubmed, size: 0.4, k = 7, acc: 0.88601
dataset:pubmed, size: 0.4, k = 8, acc: 0.88678
dataset:pubmed, size: 0.4, k = 9, acc: 0.88830
dataset:pubmed, size: 0.4, k = 10, acc: 0.88449
dataset:pubmed, size: 0.6, k = 2, acc: 0.87279
dataset:pubmed, size: 0.6, k = 3, acc: 0.87719
dataset:pubmed, size: 0.6, k = 4, acc: 0.88496
dataset:pubmed, size: 0.6, k = 5, acc: 0.88429
dataset:pubmed, size: 0.6, k = 6, acc: 0.88175
dataset:pubmed, size: 0.6, k = 7, acc: 0.88336
dataset:pubmed, size: 0.6, k = 8, acc: 0.88116
dataset:pubmed, size: 0.6, k = 9, acc: 0.88184
dataset:pubmed, size: 0.6, k = 10, acc: 0.87964
dataset:pubmed, size: 0.8, k = 2, acc: 0.85990
dataset:pubmed, size: 0.8, k = 3, acc: 0.86433
dataset:pubmed, size: 0.8, k = 4, acc: 0.86579
dataset:pubmed, size: 0.8, k = 5, acc: 0.86839
dataset:pubmed, size: 0.8, k = 6, acc: 0.87036
dataset:pubmed, size: 0.8, k = 7, acc: 0.87258
dataset:pubmed, size: 0.8, k = 8, acc: 0.87169
dataset:pubmed, size: 0.8, k = 9, acc: 0.87410
dataset:pubmed, size: 0.8, k = 10, acc: 0.87372
